MARRIAGE_DAYS_futcov,darts_enc_fc_cus_custom_1_futcov,TOTAL_FESTIVAL_DAYS_futcov,FESTIVE_PHASE_I_futcov,darts_enc_fc_pos_relative_futcov,PROP_FESTIVE_PHASE_III_futcov,darts_enc_fc_cyc_month_sin_futcov,darts_enc_fc_cus_custom_futcov,darts_enc_fc_cyc_month_cos_futcov,PROP_FESTIVE_PHASE_I_futcov,PROP_PITRU_PAKSH_futcov,FESTIVE_PHASE_III_futcov,PROP_FESTIVE_PHASE_II_futcov,PITRU_PAKSH_futcov,LAST_YEAR_CONTRIBUTION_futcov,FESTIVE_PHASE_II_futcov
0.6,0.7000000000000001,2.5,3.2,2.3,4.6,6.1,7.5,5.4,6.9,10.7,7.6,12.7,10.299999999999999,10.9,8.1
0.5,0.8,2.4,3.4000000000000004,2.4,3.8,5.3,6.9,6.800000000000001,7.199999999999999,11.1,8.5,11.1,10.4,10.5,8.9
0.5,0.8,2.4,3.2,2.1999999999999997,4.3999999999999995,5.6000000000000005,7.199999999999999,5.8999999999999995,7.000000000000001,10.8,8.3,12.3,10.2,10.8,8.4
0.5,0.8,2.4,3.1,2.1999999999999997,4.2,5.0,7.1,6.1,6.9,9.700000000000001,8.0,15.0,9.9,10.9,8.1
0.5,0.8,2.4,3.1,2.1999999999999997,4.2,4.9,7.199999999999999,6.2,6.800000000000001,9.700000000000001,8.0,15.1,9.9,11.0,8.1
0.5,0.8,2.1,3.1,2.0,4.2,5.1,6.7,6.3,7.199999999999999,10.5,8.4,15.8,10.0,9.4,7.9
0.4,0.8999999999999999,2.8000000000000003,3.5000000000000004,2.8000000000000003,3.6999999999999997,4.9,6.800000000000001,6.9,6.800000000000001,10.100000000000001,8.1,8.9,10.7,12.7,10.0
0.4,0.8999999999999999,2.7,3.3000000000000003,2.5,4.1000000000000005,5.0,7.1,6.2,6.800000000000001,9.8,8.3,11.0,10.2,12.4,9.3
0.4,0.8999999999999999,2.7,3.2,2.5,4.1000000000000005,4.8,7.1,6.3,6.7,9.4,8.0,12.1,10.2,12.6,9.1
0.3,1.0,2.9000000000000004,3.5999999999999996,3.1,3.5999999999999996,5.0,6.6000000000000005,7.000000000000001,6.7,10.0,8.0,7.3999999999999995,11.0,13.200000000000001,10.6
0.4,0.8,2.8000000000000003,3.5000000000000004,2.8000000000000003,4.2,5.8999999999999995,7.1,5.6000000000000005,6.9,10.5,8.6,8.1,11.1,12.2,9.5
0.4,0.8,2.9000000000000004,3.3000000000000003,2.7,4.7,6.2,6.6000000000000005,5.3,6.9,10.5,9.8,7.199999999999999,10.9,10.6,11.0
0.4,0.8,2.9000000000000004,3.5000000000000004,2.7,4.2,5.800000000000001,6.800000000000001,5.8999999999999995,6.800000000000001,10.6,9.1,7.3999999999999995,10.5,11.5,10.8
0.4,0.8999999999999999,2.8000000000000003,3.5000000000000004,2.7,4.1000000000000005,5.3,6.9,6.2,6.800000000000001,10.0,8.6,9.1,10.4,12.3,10.2
0.4,0.8999999999999999,2.8000000000000003,3.4000000000000004,2.6,4.0,5.0,7.000000000000001,6.3,6.7,9.700000000000001,8.3,10.0,10.299999999999999,12.6,9.9
0.4,0.8999999999999999,2.8000000000000003,3.4000000000000004,2.6,4.0,5.0,7.000000000000001,6.4,6.7,9.700000000000001,8.200000000000001,10.100000000000001,10.299999999999999,12.7,9.9
0.3,1.0,3.0,3.5999999999999996,3.2,3.5999999999999996,5.2,6.5,6.9,6.7,10.0,8.1,6.5,11.200000000000001,13.0,11.0
0.4,0.8,3.0,3.5000000000000004,2.7,4.3,5.8999999999999995,6.5,6.0,6.800000000000001,10.5,9.700000000000001,7.199999999999999,10.299999999999999,10.6,11.799999999999999
