MARRIAGE_DAYS_futcov,FESTIVE_PHASE_I_futcov,TOTAL_FESTIVAL_DAYS_futcov,darts_enc_fc_cus_custom_1_futcov,PROP_FESTIVE_PHASE_II_futcov,PROP_FESTIVE_PHASE_III_futcov,darts_enc_fc_pos_relative_futcov,FESTIVE_PHASE_II_futcov,LAST_YEAR_CONTRIBUTION_futcov,darts_enc_fc_cyc_month_cos_futcov,darts_enc_fc_cus_custom_futcov,PROP_FESTIVE_PHASE_I_futcov,FESTIVE_PHASE_III_futcov,PROP_PITRU_PAKSH_futcov,PITRU_PAKSH_futcov,darts_enc_fc_cyc_month_sin_futcov
1.3,1.4000000000000001,4.1000000000000005,2.9000000000000004,4.5,5.5,3.3000000000000003,6.4,11.200000000000001,5.3,14.499999999999998,20.4,4.5,1.7000000000000002,7.000000000000001,6.0
1.4000000000000001,1.4000000000000001,4.1000000000000005,2.7,4.2,5.0,3.4000000000000004,6.6000000000000005,10.4,5.3,14.499999999999998,20.4,4.7,2.0,7.1,6.800000000000001
1.3,1.4000000000000001,4.2,2.9000000000000004,4.5,5.5,3.3000000000000003,6.800000000000001,11.5,5.5,14.2,19.0,4.7,1.7000000000000002,6.9,6.5
1.3,1.4000000000000001,4.1000000000000005,2.9000000000000004,4.3999999999999995,5.5,3.4000000000000004,6.800000000000001,11.600000000000001,5.5,14.099999999999998,19.0,4.7,1.7000000000000002,7.1,6.5
1.7000000000000002,2.1,1.2,2.5,2.8000000000000003,3.9,5.800000000000001,4.0,5.3,6.6000000000000005,7.5,9.1,11.700000000000001,10.8,10.5,14.499999999999998
1.5,1.2,2.3,2.5,3.3000000000000003,4.0,4.5,6.3,4.5,6.0,10.7,14.099999999999998,7.6,8.1,9.4,14.000000000000002
1.5,1.3,2.1,2.5,3.4000000000000004,4.2,4.6,6.3,4.8,6.6000000000000005,10.0,12.5,7.6,8.6,9.700000000000001,14.399999999999999
1.5,1.4000000000000001,1.7999999999999998,2.5,3.2,4.2,4.6,6.0,4.9,6.7,9.700000000000001,12.4,7.8,8.799999999999999,10.100000000000001,14.399999999999999
1.2,1.7999999999999998,2.1,2.0,4.0,4.0,4.3,6.7,5.6000000000000005,7.5,7.5,7.8,7.5,10.299999999999999,8.799999999999999,18.8
1.6,1.7999999999999998,1.4000000000000001,2.4,5.2,4.1000000000000005,4.8,5.3,5.800000000000001,8.799999999999999,7.199999999999999,7.3999999999999995,8.1,9.0,9.700000000000001,17.5
